1 января 1925 года, процент освещенности луны 44%, по лунному календарю идет 7, 8 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рыбы и Овен
2 января 1925 года, процент освещенности луны 54%, по лунному календарю идет 8, 9 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Овен
3 января 1925 года, процент освещенности луны 64%, по лунному календарю идет 9, 10 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Овен и Телец
4 января 1925 года, процент освещенности луны 73%, по лунному календарю идет 10, 11 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Телец
5 января 1925 года, процент освещенности луны 81%, по лунному календарю идет 11, 12 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Телец
6 января 1925 года, процент освещенности луны 88%, по лунному календарю идет 12, 13 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Телец и Близнецы
7 января 1925 года, процент освещенности луны 93%, по лунному календарю идет 13, 14 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Близнецы
8 января 1925 года, процент освещенности луны 97%, по лунному календарю идет 14, 15 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Близнецы и Рак
9 января 1925 года, процент освещенности луны 100%, по лунному календарю идет 15, 16 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Рак
10 января 1925 года, процент освещенности луны 100%, по лунному календарю идет 16, 17 лунный день, Полнолуние в 4:46, Луна находится в знаке зодиака Рак
11 января 1925 года, процент освещенности луны 99%, по лунному календарю идет 17, 18 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Рак и Лев
12 января 1925 года, процент освещенности луны 95%, по лунному календарю идет 18, 19 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Лев
13 января 1925 года, процент освещенности луны 91%, по лунному календарю идет 19, 20 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Лев и Дева
14 января 1925 года, процент освещенности луны 84%, по лунному календарю идет 20, 21 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Дева
15 января 1925 года, процент освещенности луны 76%, по лунному календарю идет 21, 22 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Дева
16 января 1925 года, процент освещенности луны 67%, по лунному календарю идет 22, 23 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Дева и Весы
17 января 1925 года, процент освещенности луны 57%, по лунному календарю идет 23, 24 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Весы
18 января 1925 года, процент освещенности луны 46%, по лунному календарю идет 23, 24 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Весы и Скорпион
19 января 1925 года, процент освещенности луны 35%, по лунному календарю идет 24, 25 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Скорпион
20 января 1925 года, процент освещенности луны 24%, по лунному календарю идет 25, 26 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Скорпион и Стрелец
21 января 1925 года, процент освещенности луны 15%, по лунному календарю идет 26, 27 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Стрелец
22 января 1925 года, процент освещенности луны 7%, по лунному календарю идет 27, 28 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Стрелец и Козерог
23 января 1925 года, процент освещенности луны 2%, , по лунному календарю идет 28, 29 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Козерог
24 января 1925 года, процент освещенности луны 0%, по лунному календарю идет 29, 30, 1 лунный день, Новолуние в 16:44, Луна находится в знаке зодиака Козерог и Водолей
25 января 1925 года, процент освещенности луны 1%, по лунному календарю идет 1, 2 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Водолей
26 января 1925 года, процент освещенности луны 4%, по лунному календарю идет 2, 3 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Водолей и Рыбы
27 января 1925 года, процент освещенности луны 10%, по лунному календарю идет 3, 4 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рыбы
28 января 1925 года, процент освещенности луны 18%, по лунному календарю идет 4, 5 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рыбы и Овен
29 января 1925 года, процент освещенности луны 27%, по лунному календарю идет 5, 6 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Овен
30 января 1925 года, процент освещенности луны 37%, по лунному календарю идет 6, 7 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Овен и Телец
31 января 1925 года, процент освещенности луны 47%, по лунному календарю идет 7, 8 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Телец
1 февраля 1925 года, процент освещенности луны 57%, по лунному календарю идет 8, 9 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Телец
2 февраля 1925 года, процент освещенности луны 66%, по лунному календарю идет 9, 10 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Телец и Близнецы
