1 января 1927 года, процент освещенности луны 7%, по лунному календарю идет 27, 28 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Стрелец
2 января 1927 года, процент освещенности луны 3%, по лунному календарю идет 28, 29 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Стрелец
3 января 1927 года, процент освещенности луны 0%, по лунному календарю идет 29, 30, 1 лунный день, Новолуние в 22:27, Луна находится в знаке зодиака Стрелец и Козерог
4 января 1927 года, процент освещенности луны 0%, по лунному календарю идет 1, 2 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Козерог
5 января 1927 года, процент освещенности луны 3%, по лунному календарю идет 2, 3 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Козерог и Водолей
6 января 1927 года, процент освещенности луны 8%, по лунному календарю идет 3, 4 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Водолей
7 января 1927 года, процент освещенности луны 16%, по лунному календарю идет 4, 5 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Водолей и Рыбы
8 января 1927 года, процент освещенности луны 25%, по лунному календарю идет 5, 6 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рыбы
9 января 1927 года, процент освещенности луны 36%, по лунному календарю идет 6, 7 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рыбы и Овен
10 января 1927 года, процент освещенности луны 47%, по лунному календарю идет 7, 8 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Овен
11 января 1927 года, процент освещенности луны 59%, по лунному календарю идет 8, 9 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Овен и Телец
12 января 1927 года, процент освещенности луны 69%, по лунному календарю идет 9, 10 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Телец
13 января 1927 года, процент освещенности луны 79%, по лунному календарю идет 10, 11 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Телец и Близнецы
14 января 1927 года, процент освещенности луны 87%, по лунному календарю идет 11, 12 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Близнецы
15 января 1927 года, процент освещенности луны 93%, по лунному календарю идет 12, 13 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Близнецы и Рак
16 января 1927 года, процент освещенности луны 97%, по лунному календарю идет 13, 14 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Рак
17 января 1927 года, процент освещенности луны 100%, по лунному календарю идет 14, 15 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Рак
18 января 1927 года, процент освещенности луны 100%, по лунному календарю идет 15, 16 лунный день, Полнолуние в 0:26, Луна находится в знаке зодиака Рак и Лев
19 января 1927 года, процент освещенности луны 98%, по лунному календарю идет 16, 17 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Лев
20 января 1927 года, процент освещенности луны 94%, по лунному календарю идет 17, 18 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Лев и Дева
21 января 1927 года, процент освещенности луны 89%, по лунному календарю идет 18, 19 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Дева
22 января 1927 года, процент освещенности луны 82%, по лунному календарю идет 19, 20 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Дева
23 января 1927 года, процент освещенности луны 75%, по лунному календарю идет 20, 21 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Дева и Весы
24 января 1927 года, процент освещенности луны 66%, по лунному календарю идет 21, 22 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Весы
25 января 1927 года, процент освещенности луны 57%, по лунному календарю идет 21, 22, 23 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Весы и Скорпион
